代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
560980,光伏龙头ETF广发,0.669,0.6677,-0.19,-0.038,-5.37,336990.0,22985126.0,0.705,0.705,0.665,0.707,5.66,9.64,0.97,4.29,125909.0,211081.0,-1905161.0,-8.29,1586776.0,6.9,-3491937.0,-15.19,146677.0,0.64,1758483.0,7.65,-1228.0,0.668,0.669,349522000.0,233830218,233830218,2026-07-13 00:00:00,2026-07-13 16:11:33+08:00
159857,光伏ETF天弘,0.722,0.7221,0.01,-0.041,-5.37,1513531.0,111615469.5,0.756,0.76,0.721,0.763,5.11,6.59,1.16,78.27,488299.0,1025232.0,-11743820.0,-10.52,-10405714.0,-9.32,-1338106.0,-1.2,2195958.0,1.97,9547861.0,8.55,-12460.0,0.722,0.723,2295515728.0,1657362356,1657362356,2026-07-13 00:00:00,2026-07-13 15:34:12+08:00
159599,芯片ETF东财,3.525,3.5194,-0.16,-0.2,-5.37,989161.0,357942742.52,3.618,3.757,3.49,3.725,7.17,14.25,0.92,92.15,413751.0,575410.0,-28539338.0,-7.97,-16189414.0,-4.52,-12349924.0,-3.45,-21006952.0,-5.87,49546291.0,13.84,-5206.0,3.525,3.526,694322064.0,2447485276,2447485276,2026-07-13 00:00:00,2026-07-13 15:34:45+08:00
562970,光伏ETF易方达,0.985,0.9859,0.09,-0.056,-5.38,156751.0,15762150.0,1.029,1.035,0.983,1.041,5.0,4.23,0.86,4.8,55546.0,101205.0,-475883.0,-3.02,1033629.0,6.56,-1509512.0,-9.58,-502263.0,-3.19,978145.0,6.21,-11.0,0.985,0.986,370448000.0,364891280,364891280,2026-07-13 00:00:00,2026-07-13 16:11:58+08:00
159320,电网设备ETF广发,1.889,1.8921,0.16,-0.108,-5.41,348253.0,66991675.713,1.99,1.995,1.886,1.997,5.46,8.89,1.17,-1.14,173020.0,175233.0,-9321617.0,-13.91,-11440178.0,-17.08,2118561.0,3.16,1474924.0,2.2,7846692.0,11.71,-842.0,1.889,1.89,391745168.0,740006622,740006622,2026-07-13 00:00:00,2026-07-13 15:34:09+08:00
562560,信息技术ETF华夏,2.602,2.6153,0.51,-0.149,-5.42,21971.0,5912429.0,2.771,2.771,2.593,2.751,6.47,9.05,1.32,20.1,10839.0,11132.0,-1043019.0,-17.64,-1594355.0,-26.97,551336.0,9.33,743920.0,12.58,299099.0,5.06,4.0,2.608,2.619,24265500.0,63138831,63138831,2026-07-13 00:00:00,2026-07-13 16:11:59+08:00
563200,中证2000ETF富国,1.48,1.4788,-0.08,-0.085,-5.43,160270.0,24140095.0,1.56,1.561,1.476,1.565,5.43,40.62,1.85,48.73,64078.0,96192.0,-5615753.0,-23.26,874471.0,3.62,-6490224.0,-26.89,2364555.0,9.8,3251199.0,13.47,-1987.0,1.477,1.48,39458800.0,58399024,58399024,2026-07-13 00:00:00,2026-07-13 16:11:39+08:00
159804,创中盘88ETF国寿,1.673,1.6722,-0.05,-0.096,-5.43,1348.0,231221.4,1.777,1.777,1.671,1.769,5.99,0.56,0.86,8.01,568.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,-68145.0,-29.47,68144.0,29.47,10.0,1.666,1.68,23899676.0,39984158,39984158,2026-07-13 00:00:00,2026-07-13 15:34:03+08:00
159123,光伏ETF嘉实,0.902,0.901,-0.11,-0.052,-5.45,59505.0,5462885.4,0.936,0.954,0.899,0.954,5.77,1.6,0.72,-45.75,26481.0,33024.0,-422059.0,-7.73,-234552.0,-4.29,-187507.0,-3.43,-10294.0,-0.19,432353.0,7.91,10.0,0.902,0.903,372047024.0,335586416,335586416,2026-07-13 00:00:00,2026-07-13 15:34:00+08:00
563560,科技成长ETF兴业,1.333,1.338,0.37,-0.077,-5.46,109707.0,15007787.0,1.36,1.408,1.325,1.41,5.89,19.33,1.66,10.38,43486.0,66221.0,-1411719.0,-9.41,-2221894.0,-14.8,810175.0,5.4,110327.0,0.74,1301392.0,8.67,-2.0,1.333,1.335,56769000.0,75673077,75673077,2026-07-13 00:00:00,2026-07-13 16:11:48+08:00
516230,光伏ETF招商,0.779,0.779,0.0,-0.045,-5.46,50285.0,3998821.0,0.816,0.818,0.778,0.824,4.85,0.69,0.46,13.85,17014.0,33271.0,-463531.0,-11.59,-531341.0,-13.29,67810.0,1.7,302898.0,7.57,160634.0,4.02,-13.0,0.778,0.779,728921008.0,567829465,567829465,2026-07-13 00:00:00,2026-07-13 16:12:02+08:00
159502,标普生物科技ETF嘉实,1.591,1.5976,0.41,-0.092,-5.47,2958947.0,475026873.822,1.621,1.626,1.587,1.683,2.32,26.36,0.7,1.48,1220788.0,1738159.0,-2153544.0,-0.45,-24132657.0,-5.08,21979113.0,4.63,-16780622.0,-3.53,18934166.0,3.99,-18551.0,1.591,1.592,1122323024.0,1785615931,1785615931,2026-07-13 00:00:00,2026-07-13 15:34:48+08:00
159703,新材料ETF天弘,0.95,0.9538,0.4,-0.055,-5.47,100168.0,9689882.5,0.995,1.005,0.949,1.005,5.57,15.27,1.12,-8.24,51303.0,48865.0,-644249.0,-6.65,-66727.0,-0.69,-577522.0,-5.96,138642.0,1.43,505607.0,5.22,-142.0,0.95,0.954,65581591.0,62302511,62302511,2026-07-13 00:00:00,2026-07-13 15:34:03+08:00
588990,科创芯片ETF博时,4.522,4.5094,-0.28,-0.263,-5.5,237912.0,111089786.0,4.684,4.829,4.465,4.785,7.61,11.91,1.57,-58.3,84058.0,153854.0,-4300605.0,-3.87,712116.0,0.64,-5012721.0,-4.51,-1241028.0,-1.12,5541634.0,4.99,-469.0,4.522,4.526,199745400.0,903248699,903248699,2026-07-13 00:00:00,2026-07-13 16:11:50+08:00
